height,weight,gender,bmi,age,rh,heart_rate,stress_level,skin_temp,eda,Clo,Act,env_temp
1.74,65.0,-1.0,21.46915048,23.0,51.91,76.29887218045113,23.9873417721519,31.672873595505617,0.1151125,0.31,0.8,25.61
1.63,50.0,1.0,18.81892431,23.0,28.66,64.5,5.0,31.672873595505617,0.05762699999999999,0.5,1.0,23.966111111111108
1.63,50.0,1.0,18.81892431,23.0,33.13,88.0,68.0,30.457,0.0418115,0.5,1.0,25.61
1.63,50.0,1.0,18.81892431,23.0,33.19,67.0,12.0,31.672873595505617,0.118996,0.5,1.0,23.966111111111108
1.77,68.0,-1.0,21.70512943,24.0,51.734,71.0,14.0,32.189,0.017525,0.54,1.0,24.532222222222224
1.69,75.0,-1.0,26.25958475,24.0,35.5,71.0,0.0,31.672873595505617,0.008587999999999998,0.36,1.1,23.772777777777776
1.67,56.0,1.0,20.07960128,26.0,61.18,84.0,18.0,31.672873595505617,0.999872,0.57,2.6,23.003888888888888
1.63,50.0,1.0,18.81892431,23.0,38.19,87.0,59.0,30.061,0.0510255,0.5,1.1,24.351111111111106
1.64,54.0,1.0,20.07733492,24.0,43.02,70.0,3.0,32.007,0.07498049999999999,0.74,1.1,22.907777777777774
1.63,50.0,1.0,18.81892431,23.0,36.63,74.5,9.0,30.722,0.164951,0.5,2.5,24.157777777777774
1.63,50.0,1.0,18.81892431,23.0,33.07,71.5,12.0,30.352,0.0488355,0.5,1.0,25.805
1.63,50.0,1.0,18.81892431,23.0,40.49,77.0,23.9873417721519,31.876,0.11820699999999999,0.5,1.0,24.447777777777777
1.77,68.0,-1.0,21.70512943,24.0,55.358,65.0,24.0,32.552,0.059314,0.54,1.0,23.68888888888889
1.6,52.5,1.0,20.5078125,24.0,48.105,77.0,23.9873417721519,31.672873595505617,-0.07482150000000001,0.96,1.2,21.867222222222225
1.6,52.5,1.0,20.5078125,24.0,54.89100000000001,76.0,16.0,31.672873595505617,0.05900850000000001,0.96,1.1,23.68888888888889
1.77,68.0,-1.0,21.70512943,24.0,53.911,0.0,23.9873417721519,31.672873595505617,-0.002007,0.54,1.0,24.967777777777773
1.63,50.0,1.0,18.81892431,23.0,15.0,81.0,23.9873417721519,31.672873595505617,0.066372,0.57,1.7,28.059999999999995
1.6,52.5,1.0,20.5078125,24.0,40.105,65.0,8.0,31.672873595505617,0.0074385000000000015,0.96,1.1,22.53722222222222
1.69,75.0,-1.0,26.25958475,24.0,28.92,102.0,23.9873417721519,31.672873595505617,0.0028875000000000003,0.36,1.1,23.677222222222223
1.63,50.0,1.0,18.81892431,23.0,15.44,86.5,25.0,31.672873595505617,0.037504,0.57,1.7,27.763888888888886
1.63,50.0,1.0,18.81892431,23.0,29.15,63.0,3.0,31.672873595505617,1.3633885,0.5,1.0,23.966111111111108
1.63,50.0,1.0,18.81892431,23.0,20.08,85.0,48.0,30.986,0.044873500000000004,0.5,1.0,23.003888888888888
1.69,75.0,-1.0,26.25958475,24.0,53.26,83.0,23.9873417721519,32.604,0.016960000000000003,0.31,1.0,25.70777777777778
1.6,63.0,1.0,24.609375,24.0,56.26,81.0,23.9873417721519,30.828000000000007,0.0345765,0.36,2.7,25.416111111111107
